Date,Time,Street,Cross Street,Source of Call,Total OnScene Time,Stop - K-12?,Stop - School Code,Stop - Officer Assignment,Stop - Reason For,Stop - Suspicion Types,Stop - Violation Type,Stop - Perc Race,Stop - Perc Disabilities,Stop - Perc Gender,Stop - Perc LGBT?,Stop - Limited English?,Stop - Perc Age,Stop - Actions Taken,Stop - Search Basis,Stop - Evidence Discovered,Stop - Seized Property Basis,Stop - Seized Property Type,Stop - Result,Stop - Citation Code 1,Stop - Citation Desc 1,Stop - Custodial Code 1,Stop - Custodial Desc 1,Stop - Cite/Release Code 1,Stop - Cite/Release Desc 1,Stop - Warning Code 1,Stop - Warning Desc 1,Stop - Educ Section,Stop - Educ Subdivision
4/21/20,21:54:32,W OLIVE DR,RICHARDS BL,O,54,F,,"Patrol, traffic enforcement, field operations",Known to be on parole/probation/PRCS/mandatory supervision,,,White,None,Male,F,F,50,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Warning (verbal or written),,,,,,,11364 HS,CNTL SUB PARAPHERNALIA - M,,
4/21/20,23:26:16,RICHARDS BL,OLIVE DR,O,553,F,,"Patrol, traffic enforcement, field operations",Knowledge of outstanding arrest warrant/wanted person,,,Hispanic/Latino,None,Male,F,F,60,"Firearm pointed at person, Handcuffed or flex cuffed, Person removed from vehicle by order, Property was seized, Search of person was conducted, Search of property was conducted","Condition of parole/probation/PRCS/mandatory supervision, Incident to arrest, Officer safety/safety of others, Suspected weapons","Drug paraphernalia, Drugs/narcotics, Other contraband or evidence","Contraband, Evidence","Drug paraphernalia, Drugs/narcotics, Suspected stolen property",Custodial arrest pursuant to outstanding warrant,,,,,,,,, ,
4/21/20,17:10:15,POMONA DR,ADELINE PL,O,41,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,30,"Handcuffed or flex cuffed, Patrol car detention, Person removed from vehicle by order, Property was seized, Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,Weapon(s) other than a firearm,Evidence,Weapon(s) other than firearm,Warning (verbal or written),,,,,,,26710 VC,DEFECTIVE WINDSHIELD/ETC - I,,
4/21/20,19:51:40,RESEARCH PARK DR,RICHARDS BL,O,23,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,"Black/African American, White",None,Male,F,F,20,None,,,,,No action,,,,,,,,,,
4/22/20,05:14:59,LILLARD DR,DANBURY ST/ARNOLD ST,W,436,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,Black/African American,None,Female,F,F,25,"Firearm pointed at person, Handcuffed or flex cuffed, Person removed from vehicle by order, Property was seized, Search of person was conducted, Search of property was conducted","Evidence of crime, Incident to arrest, Officer safety/safety of others, Vehicle inventory","Cell phone(s) or electronic device(s), Other contraband or evidence, Suspected stolen property",Evidence,"Cell phone(s) or electronic devices, Other contraband or evidence, Suspected stolen property",Custodial arrest without warrant,,,459 PC,BURGLARY - F,,,,,,
4/22/20,05:14:59,LILLARD DR,DANBURY ST/ARNOLD ST,W,436,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,Black/African American,None,Male,F,F,30,"Firearm pointed at person, Handcuffed or flex cuffed, Person removed from vehicle by order, Property was seized, Search of person was conducted, Search of property was conducted","Evidence of crime, Incident to arrest, Officer safety/safety of others, Vehicle inventory","Cell phone(s) or electronic device(s), Suspected stolen property",Evidence,"Cell phone(s) or electronic devices, Other contraband or evidence, Suspected stolen property",Custodial arrest without warrant,,,459 PC,BURGLARY - F,,,,,,
4/22/20,19:17:15,2ND ST,L ST,O,6,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,30,None,,,,,No action,,,,,,,,,,
4/22/20,19:02:12,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),9,62,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,White,None,Male,F,F,60,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,647(F) PC,DISORD CONDUCT:ALCOHOL - M,,,,,,
4/23/20,20:46:28,W COVELL BL,ANDERSON RD,O,217,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Hispanic/Latino,None,Female,F,F,25,"Handcuffed or flex cuffed, Person removed from vehicle by order, Search of person was conducted, Search of property was conducted, Vehicle impounded",Incident to arrest,None,,,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
4/23/20,18:42:11,LEHIGH DR,POLE LINE RD,O,149,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,35,"Handcuffed or flex cuffed, Property was seized, Search of person was conducted","Condition of parole/probation/PRCS/mandatory supervision, Incident to arrest",Drugs/narcotics,Contraband,Drugs/narcotics,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
4/23/20,15:47:34,2ND ST,POLE LINE RD/CANTRILL DR,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,50,None,,,,,Warning (verbal or written),,,,,,,21651(B) VC,DRIVE WRONG WAY:DIV HWY - M,,
4/23/20,12:14:46,RODIN PL,SISLEY CT/HARTLEY ST,W,151,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Officer witnessed commission of a crime, Other reasonable suspicion of a crime",,White,None,Male,F,F,70,"Patrol car detention, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,273.6(A) PC,VIO ORD:PREVNT DOMES VIOL - M,,,,,,
4/23/20,05:10:47,COLGATE DR,L ST/M ST,W,245,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Hispanic/Latino,None,Male,F,T,25,"Curbside detention, Field sobriety test conducted, Handcuffed or flex cuffed, Search of person was conducted, Search of property was conducted","Evidence of crime, Incident to arrest, Visible contraband",None,,,Custodial arrest without warrant,,,23152(A) VC,DUI ALCOHOL - M,,,,,,
4/25/20,22:42:38,COWELL BL,DREW AV,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,22,None,,,,,Citation for infraction,21453(C) VC,FAIL STOP LINE/ETC AT RED - I,,,,,,,,
4/25/20,03:50:07,ALVARADO AV,ANDERSON RD/SYCAMORE LN,W,144,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,40,"Handcuffed or flex cuffed, Property was seized, Search of person was conducted","Incident to arrest, Officer safety/safety of others, Suspected weapons",Suspected stolen property,Evidence,Suspected stolen property,Custodial arrest without warrant,,,496(A) PC,REC KNWN STOLN PROP - F,,,,,,
4/25/20,01:21:57,ANDERSON RD,VILLANOVA DR,W,123,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Female,F,F,30,Handcuffed or flex cuffed,,,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
4/26/20,04:03:34,E COVELL BL,ALHAMBRA DR,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,55,None,,,,,No action,,,,,,,,,,
4/26/20,20:12:32,W OLIVE DR,RICHARDS BL,O,1,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,50,None,,,,,No action,,,,,,,,,,
4/26/20,22:02:48,COWELL BL,DREW AV,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,60,None,,,,,No action,,,,,,,,,,
4/26/20,02:38:52,MACE BL,CHILES RD/COWELL BL,W,199,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,White,None,Male,F,F,30,Curbside detention,,,,,No action,,,,,,,,,,
4/26/20,08:57:16,LAKE BL,MARINA CI - NORTH,O,12,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,21,None,,,,,Citation for infraction,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,,,,,,,
4/26/20,02:38:52,MACE BL,CHILES RD/COWELL BL,W,199,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,White,None,Male,F,F,30,"Curbside detention, Person photographed",,,,,No action,,,,,,,242 PC,BAT AGAINST PEACE OFFICER - F,,
4/27/20,23:52:55,,,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Hispanic/Latino,None,Female,F,F,40,None,,,,,No action,,,,,,,,,,
4/27/20,09:01:36,D ST,6TH ST/7TH ST,T,125,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,White,Mental health condition,Female,F,F,50,None,,,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
4/27/20,00:39:05,F ST,W COVELL BL/AMAPOLA DR,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,23,None,,,,,No action,,,,,,,,,,
4/28/20,00:05:25,CR32A,MACE BL/MACE BL,O,51,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,White,None,Male,F,F,50,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Warning (verbal or written),,,,,,,602 PC,TRESPASSING - M,,
4/28/20,13:23:21,BIANCO CT,ANDERSON RD,T,58,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,Black/African American,None,Female,F,F,18,Patrol car detention,,,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
4/28/20,22:28:45,CHILES RD,EL CEMONTE AV/EL MACERO DRAINAGE CHANN,O,12,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,Hispanic/Latino,None,Male,F,F,25,"Handcuffed or flex cuffed, Patrol car detention, Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,No action,,,,,,,,,,
4/28/20,10:37:01,ELDERBERRY PL,DANBURY ST,W,107,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,30,Search of person was conducted,Officer safety/safety of others,None,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
4/29/20,16:28:44,OESTE DR,N CAMPUS WY/W 8TH ST,T,755,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,Black/African American,None,Male,F,F,30,"Handcuffed or flex cuffed, Patrol car detention, Property was seized, Search of person was conducted","Condition of parole/probation/PRCS/mandatory supervision, Evidence of crime, Incident to arrest","Cell phone(s) or electronic device(s), Suspected stolen property","Evidence, Safekeeping as allowed by law/statute","Cell phone(s) or electronic devices, Other contraband or evidence, Suspected stolen property","Custodial arrest pursuant to outstanding warrant, Custodial arrest without warrant",,,459 PC,BURGLARY - F,,,,,,
4/29/20,15:59:41,E COVELL BL,L ST/POLE LINE RD,W,408,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,Black/African American,None,Male,F,F,40,"Handcuffed or flex cuffed, Search of person was conducted, Search of property was conducted","Incident to arrest, Officer safety/safety of others",None,,,Custodial arrest without warrant,,,211 PC,ROBBERY - F,,,,,,
4/29/20,21:44:34,POLE LINE RD,MOORE BL,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,25,None,,,,,No action,,,,,,,,,,
4/29/20,00:05:08,CHILES RD,ENSENADA DR/MACE BL,W,240,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,White,None,Male,F,F,25,"Curbside detention, Handcuffed or flex cuffed, Search of person was conducted, Search of property was conducted","Condition of parole/probation/PRCS/mandatory supervision, Incident to arrest",None,,,Custodial arrest without warrant,,,647(H) PC,LOITER/ETC PRIVATE PROP - M,,,,,,
4/30/20,19:06:34,CHILES RD,EL CEMONTE AV,O,30,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,25,"Curbside detention, Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,No action,,,,,,,,,,
4/30/20,22:02:00,BROWN DR,SYCAMORE LN,T,50,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Female,F,F,16,None,,,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
5/1/20,02:10:41,ADELINE PL,POMONA DR/LEHIGH DR,W,252,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Actions indicative of engaging in a violent crime, Other reasonable suspicion of a crime",,White,None,Female,F,F,30,"Handcuffed or flex cuffed, Search of person was conducted","Evidence of crime, Incident to arrest",None,,,Custodial arrest without warrant,,,243(E)(1) PC,BAT:SPOUSE/EX SP/DATE/ETC - M,,,,,,
5/1/20,00:21:44,F ST,E 14TH ST/W COVELL BL,T,72,F,,"Patrol, traffic enforcement, field operations",Knowledge of outstanding arrest warrant/wanted person,,,Black/African American,None,Male,F,F,25,Curbside detention,,,,,"Custodial arrest pursuant to outstanding warrant, Field interview card completed, In-field cite and release",,,,,14601.1(A) VC,DRIVE:LIC SUSPENDED/ETC - M,,,,
5/1/20,20:54:32,HUMBOLDT AV,ARLINGTON BL,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,25,None,,,,,Warning (verbal or written),,,,,,,22352(A) VC,EXCEED PRIMA FACIE SPEED - I,,
5/2/20,18:39:16,E 14TH ST,B ST/SEQUOIA PL,T,286,F,,"Patrol, traffic enforcement, field operations",Knowledge of outstanding arrest warrant/wanted person,,,Black/African American,Mental health condition,Male,F,F,25,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
5/2/20,15:21:21,W COVELL BL,SYCAMORE LN/SR113,O,4,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,75,None,,,,,Warning (verbal or written),,,,,,,602 PC,TRESPASSING - M,,
5/2/20,23:12:05,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),O,35,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Actions indicative of casing a victim or location, Other reasonable suspicion of a crime, Suspected of acting as a lookout",,Black/African American,None,Male,F,F,21,"Asked for consent to search person, Asked for consent to search property, Search of person was conducted, Search of property was conducted","Consent given, Officer safety/safety of others",None,,,No action,,,,,,,,,,
5/2/20,12:23:36,W 8TH ST,OAK AV/PARKSIDE DR,T,75,F,,"Patrol, traffic enforcement, field operations",Knowledge of outstanding arrest warrant/wanted person,,,White,None,Male,F,F,30,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
5/2/20,23:12:05,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),O,35,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Actions indicative of casing a victim or location, Other reasonable suspicion of a crime, Suspected of acting as a lookout",,Black/African American,None,Male,F,F,21,"Asked for consent to search person, Asked for consent to search property, Search of person was conducted, Search of property was conducted","Consent given, Officer safety/safety of others",None,,,No action,,,,,,,,,,
5/2/20,16:04:18,D ST,6TH ST/7TH ST,T,254,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,Mental health condition,Female,F,F,40,Search of person was conducted,Officer safety/safety of others,None,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
5/3/20,02:02:55,S CAMPUS WY,RUSSELL BL,O,18,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,22,None,,,,,Citation for infraction,21650 VC,FAIL DRIVE RT HALF ROAD - I,,,,,,,,
5/3/20,23:20:28,MARDEN ST,DRESBACH WY,T,254,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Asian,Speech impairment or limited use of language,Male,F,F,25,"Asked for consent to search person, Handcuffed or flex cuffed, Patrol car detention, Search of person was conducted","Consent given, Incident to arrest",Alcohol,,,Custodial arrest without warrant,,,273.5 PC,INFLICT CRPL INJ SP/COHAB - F,,,,,,
5/3/20,22:40:01,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),T,344,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,60,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,273.5 PC,INFLICT CRPL INJ SP/COHAB - F,,,,,,
5/3/20,00:17:03,F ST,10TH ST,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Female,F,F,21,None,,,,,No action,,,,,,,,,,
5/3/20,18:11:08,D ST,6TH ST/7TH ST,T,210,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,Mental health condition,Female,F,F,50,Search of person was conducted,Officer safety/safety of others,None,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
5/3/20,21:47:22,F ST,W COVELL BL,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,22,None,,,,,Citation for infraction,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,,,,,,,
5/4/20,14:56:05,F ST,ANDERSON RD,W,1073,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Other reasonable suspicion of a crime, Witness or victim identification of suspect at the scene",,Hispanic/Latino,None,Male,F,F,30,"Curbside detention, Handcuffed or flex cuffed, Property was seized, Search of person was conducted, Search of property was conducted","Condition of parole/probation/PRCS/mandatory supervision, Evidence of crime, Incident to arrest, Suspected weapons","Firearm(s), Suspected stolen property",Evidence,"Firearms, Suspected stolen property",Custodial arrest without warrant,,,459 PC,BURGLARY - F,,,,,,
5/4/20,20:04:38,RESEARCH PARK DR,DA VINCI,W,212,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,Hispanic/Latino,None,Male,F,F,18,"Handcuffed or flex cuffed, Patrol car detention, Search of person was conducted, Search of property was conducted",Incident to arrest,Alcohol,,,Custodial arrest without warrant,,,647(F) PC,DISORD CONDUCT:ALCOHOL - M,,,,,,
5/4/20,08:40:01,E COVELL BL,L ST/POLE LINE RD,T,115,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,White,None,Male,F,F,60,"Handcuffed or flex cuffed, Patrol car detention, Search of person was conducted",Incident to arrest,None,,,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
5/4/20,18:12:07,W COVELL BL,SYCAMORE LN/SR113,T,65,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,White,None,Male,F,F,45,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,647(F) PC,DISORD CONDUCT:ALCOHOL - M,,,,,,
5/5/20,00:22:25,BENTON PL,BAYWOOD LN,W,415,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,Mental health condition,Female,F,F,40,Handcuffed or flex cuffed,,,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
5/5/20,22:05:25,5TH ST,CANTRILL DR/SAN RAFAEL ST,W,162,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Actions indicative of engaging in a violent crime,,Hispanic/Latino,None,Female,F,F,20,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,243(E)(1) PC,BAT:SPOUSE/EX SP/DATE/ETC - M,,,,,,
5/6/20,01:37:16,COWELL BL,VALDORA ST/POLE LINE RD,O,68,F,,"Patrol, traffic enforcement, field operations",Known to be on parole/probation/PRCS/mandatory supervision,,,White,None,Male,F,F,35,"Curbside detention, Handcuffed or flex cuffed, Property was seized, Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,Drugs/narcotics,Evidence,Drugs/narcotics,Custodial arrest without warrant,,,11377(A) HS,POSSESS CNTL SUB - M,,,,,,
5/6/20,13:12:26,L ST,5TH ST/DUKE DR,O,292,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,White,None,Male,F,F,60,"Firearm pointed at person, Handcuffed or flex cuffed, Patrol car detention, Property was seized, Search of person was conducted, Search of property was conducted",Incident to arrest,"Drug paraphernalia, Other contraband or evidence","Contraband, Evidence","Drug paraphernalia, Other contraband or evidence",Custodial arrest without warrant,,,245(A)(1) PC,ADW NOT FIREARM - F,,,,,,
5/7/20,14:37:14,POLE LINE RD,MOORE BL,O,3,F,,Investigative/detective,Traffic violation,,Moving violation,White,None,Male,F,F,30,None,,,,,Warning (verbal or written),,,,,,,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,
5/7/20,10:26:34,ALHAMBRA DR,5TH ST,O,1,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Female,F,F,22,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
5/7/20,19:51:21,I 80 E,CR32B (E CHILES RD EXIT),O,24,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,25,None,,,,,Citation for infraction,22349(A) VC,EXCEED SPEED ON HIGHWAY - I,,,,,,,,
5/7/20,15:17:19,MACE BL,CHILES RD/COWELL BL,T,32,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,70,"Search of person was conducted, Search of property was conducted",Incident to arrest,None,,,In-field cite and release,,,,,490.5(A) PC,PETTY THEFT RETAIL/ETC - M,,,,
5/7/20,09:08:07,SACRAMENTO AID,DAVIS FD PD,T,3435,F,,Investigative/detective,Knowledge of outstanding arrest warrant/wanted person,,,Hispanic/Latino,None,Male,F,F,19,"Handcuffed or flex cuffed, Patrol car detention, Search of person was conducted, Search of property was conducted",Search warrant,None,,,No action,,,,,,,,,,
5/8/20,02:31:04,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),T,315,F,null,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,Hispanic/Latino,None,Female,F,F,25,None,,,,,No action,,,,,,,,,,
5/8/20,00:46:03,COWELL BL,RESEARCH PARK DR (CHEVER/DREW AV,O,12,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,Hispanic/Latino,None,Male,T,F,23,Curbside detention,,,,,No action,,,,,,,,,,
5/8/20,10:48:36,SUTTER PL,RISLING CT,9,253,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,45,"Asked for consent to search person, Asked for consent to search property, Handcuffed or flex cuffed, Search of person was conducted, Search of property was conducted","Consent given, Officer safety/safety of others, Suspected weapons",Weapon(s) other than a firearm,,,Warning (verbal or written),,,,,,,417(A)(1) PC,EXHIBIT DEADWPN:NOT F/ARM - M,,
5/8/20,02:31:04,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),T,315,F,null,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,White,None,Male,F,F,30,None,,,,,No action,,,,,,,,,,
5/8/20,14:01:08,E COVELL BL,L ST/POLE LINE RD,T,82,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,45,None,,,,,In-field cite and release,,,,,459.5 PC,SHOPLIFTING - M,,,,
5/8/20,00:46:03,COWELL BL,RESEARCH PARK DR (CHEVER/DREW AV,O,12,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Black/African American,None,Male,T,F,40,None,,,,,No action,,,,,,,,,,
5/8/20,17:06:10,E COVELL BL,L ST/POLE LINE RD,T,27,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Black/African American,None,Female,F,F,30,None,,,,,In-field cite and release,,,,,459.5 PC,SHOPLIFTING - M,,,,
5/8/20,16:03:44,POLE LINE RD,CLAREMONT DR/E COVELL BL,W,245,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,Mental health condition,Male,F,F,21,"Curbside detention, Handcuffed or flex cuffed, Search of person was conducted","Officer safety/safety of others, Suspected weapons",None,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
5/9/20,14:59:07,2ND ST,FERMI PL/MACE BL,T,131,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Officer witnessed commission of a crime, Other reasonable suspicion of a crime",,White,None,Male,F,F,40,"Curbside detention, Handcuffed or flex cuffed, Property was seized, Search of person was conducted, Search of property was conducted","Condition of parole/probation/PRCS/mandatory supervision, Incident to arrest","Drugs/narcotics, Other contraband or evidence, Suspected stolen property","Evidence, Safekeeping as allowed by law/statute","Other contraband or evidence, Suspected stolen property","Custodial arrest without warrant, In-field cite and release",,,11377(A) HS,POSSESS CNTL SUB - M,11377(A) HS,POSSESS CNTL SUB - M,,,,
